Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,311.0,18.0,24.0,311.0,0.0,17.360091227977495,0.0,0.0,31.952116012573242,,,,,,,,,,,,,,,,,,,,,7.434731986332062,5.934074777277439,17.216072589411766,0.030523228123292112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,330.0,19.0,19.0,330.0,0.0,12.737328886690493,0.0,0.0,33.949955701828,,,,,,,,,,,,,,,,,,,,,5.556234267458424,4.284492718639295,12.657061902351582,0.1913475741304549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,348.0,20.0,18.0,348.0,0.0,10.051468096027042,0.0,0.0,35.875450134277344,,,,,,,,,,,,,,,,,,,,,3.96101731227459,3.4679323450933652,10.000160104454903,0.12845155037218037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,16.0,1.0,16.0,364.0,0.0,9.385643195761341,0.0,0.0,92.33386731147766,,,,,,,,,,,,,,,,,,,,,4.414933631663643,2.8700124331884447,9.333662248489457,0.5614523276854124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,33.0,2.0,17.0,381.0,0.0,11.518030317817333,0.0,0.0,94.28284668922424,,,,,,,,,,,,,,,,,,,,,5.1415135648157735,3.916863207403208,11.45352017404338,0.16402372422704314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,49.0,3.0,16.0,397.0,0.0,9.100461585109812,0.0,0.0,96.02518200874329,,,,,,,,,,,,,,,,,,,,,3.820862099495759,3.0884019966455574,9.057433601286858,0.09763651784828509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,62.0,4.0,13.0,410.0,0.0,6.267168175885356,0.0,0.0,97.53185534477234,,,,,,,,,,,,,,,,,,,,,2.3556596082634025,2.335191686528994,6.249036424791089,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,77.0,5.0,15.0,425.0,0.0,7.515745151590854,0.0,0.0,99.27329754829407,,,,,,,,,,,,,,,,,,,,,2.8770680252708485,2.6842255971974627,7.487556757169375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,93.0,6.0,16.0,441.0,0.0,7.755889415846954,0.0,0.0,101.10189056396484,,,,,,,,,,,,,,,,,,,,,3.4892248507028643,2.5545318454505064,7.7154850728964295,0.13602686622581817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,107.0,7.0,14.0,455.0,0.0,5.248609907887514,0.0,0.0,102.79181909561157,,,,,,,,,,,,,,,,,,,,,2.015212512968363,1.907895702066884,5.230853408669886,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,122.0,8.0,15.0,470.0,0.0,9.519164714047514,0.0,0.0,104.42266845703125,,,,,,,,,,,,,,,,,,,,,4.4590200693682425,3.0674714298458814,9.47121236652768,0.3920585879634402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,140.0,9.0,18.0,488.0,0.0,9.97006781208965,0.0,0.0,106.29057455062866,,,,,,,,,,,,,,,,,,,,,3.894325284875956,3.449074359282942,9.919799636435116,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,156.0,10.0,16.0,504.0,0.0,7.121724676863941,0.0,0.0,108.16440463066101,,,,,,,,,,,,,,,,,,,,,2.9446903971224025,2.454419470367202,7.088780101933748,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,171.0,11.0,15.0,519.0,0.0,2.136069751186022,0.0,0.0,109.73914909362793,,,,,,,,,,,,,,,,,,,,,1.6163690508903665,0.6906170350965081,2.130926014950237,0.2616330283770435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,188.0,12.0,17.0,536.0,0.0,10.39611785563831,0.0,0.0,111.57407331466675,,,,,,,,,,,,,,,,,,,,,4.452017629986009,3.5595939782216375,10.341105425674472,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,203.0,13.0,15.0,551.0,0.0,5.349471623424494,0.0,0.0,113.26281380653381,,,,,,,,,,,,,,,,,,,,,1.5137082755713598,2.0057729918517864,5.337435532921233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,226.0,14.0,23.0,574.0,0.0,12.28105059044745,0.0,0.0,115.6582715511322,,,,,,,,,,,,,,,,,,,,,4.507758380148809,4.271042526035945,12.201763472886327,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,240.0,15.0,14.0,588.0,0.0,6.619408271902998,0.0,0.0,117.24320864677429,,,,,,,,,,,,,,,,,,,,,2.4261981170541143,2.4333457160716425,6.598632163959993,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,263.0,16.0,23.0,611.0,0.0,14.378426941345142,0.0,0.0,119.6583092212677,,,,,,,,,,,,,,,,,,,,,7.541097640421094,4.0013544912231644,14.23343433084281,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
